year,code,product,value
2015,103,Enseñanza postsecundaria no superior, 
2015,104,Enseñanza superior,99.898
2015,105,Enseñanza no definida por nivel,99.523
2015,111,Restauración y comedores,99.008
2015,112,Servicios de alojamiento,97.497
2015,121,Cuidado personal,100.035
2015,123,Efectos personales n.c.o.p.,99.151
2015,124,Protección social, 
2015,125,Seguros,96.921
2015,126,Servicios financieros n.c.o.p.,100
2015,127,Otros servicios n.c.o.p.,99.597
2016,00,Índice general,100
2016,011,Alimentos,100
2016,012,Bebidas no alcohólicas,100
2016,021,Bebidas alcohólicas,100
2016,022,Tabaco,100
2016,031,Vestido,100
2016,032,Calzado y sus reparaciones,100
2016,041,Alquiler de vivienda,100
2016,043,Conservación y reparación de la vivienda,100
2016,044,Suministro de agua y otros servicios relacionados con la vivienda,100
2016,045,"Electricidad, gas y otros combustibles",100
2016,051,"Muebles y accesorios, alfombras y otros revestimientos de suelos",100
2016,052,Artículos textiles para el hogar,100
2016,053,Aparatos domésticos,100
2016,054,"Cristalería, vajilla y utensilios para el hogar",100
2016,055,Herramientas y equipos para el hogar y el jardín,100
2016,056,Bienes y servicios para el mantenimiento corriente del hogar,100
2016,061,"Productos, aparatos y equipos médicos",100
2016,062,Servicios ambulatorios,100
2016,063,Servicios hospitalarios,100
2016,071,Adquisición de vehículos,100
2016,072,Utilización de vehículos personales,100
2016,073,Servicios de transporte,100
2016,081,Servicios postales,100
2016,082,Equipos de telefonía y fax,100
2016,083,Servicios de telefonía y fax,100
2016,091,"Equipos audiovisuales, fotográficos y de procesamiento de información",100
2016,092,Otros grandes bienes duraderos para ocio y cultura,100
2016,093,"Otros artículos y equipos para ocio, jardinería y animales domésticos",100
2016,094,"Servicios recreativos, deportivos y culturales",100
2016,095,"Prensa, libros y artículos de papelería",100
2016,096,Paquetes turísticos,100
2016,101,Enseñanza infantil y primaria, 
2016,102,Enseñanza secundaria, 
2016,103,Enseñanza postsecundaria no superior, 
2016,104,Enseñanza superior,100
2016,105,Enseñanza no definida por nivel,100
2016,111,Restauración y comedores,100
2016,112,Servicios de alojamiento,100
2016,121,Cuidado personal,100
2016,123,Efectos personales n.c.o.p.,100
2016,124,Protección social, 
2016,125,Seguros,100
2016,126,Servicios financieros n.c.o.p.,100
2016,127,Otros servicios n.c.o.p.,100
